"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Saccharolobus;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Stygiolobus;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Euryarchaeota;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
"S-D-Bact-0341-b-S-17|S-D-Bact-0785-a-A-21_0";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;";"0.0";"0";"0";"0";"0";"0";"0";"455009";"315952"
