Taxonomy,Level,Entries,Amplifies,Differentiable,Rank Summary
Fungi;Ascomycota;Leotiomycetes;Helotiales,4,4559,1150,1148,"['none (3409)', 'species (1148)', 'family (1)', 'phylum (1)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae,5,358,94,94,"['none (264)', 'species (94)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Phaeohelotium,6,27,4,4,"['none (23)', 'species (4)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Phaeohelotium;Phaeohelotium pallidum,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Myriangiales,4,70,51,51,"['none (19)', 'species (51)']"
Fungi;Ascomycota;Dothideomycetes;Myriangiales;Endosporiaceae,5,2,0,0,['none (2)']
Fungi;Ascomycota;Dothideomycetes;Myriangiales;Endosporiaceae;Endosporium,6,2,0,0,['none (2)']
Fungi;Ascomycota;Dothideomycetes;Myriangiales;Endosporiaceae;Endosporium;Endosporium populi-tremuloides,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Atractosporales,4,105,2,2,"['none (103)', 'species (2)']"
Fungi;Ascomycota;Sordariomycetes;Atractosporales;Conlariaceae,5,33,1,1,"['none (32)', 'species (1)']"
Fungi;Ascomycota;Sordariomycetes;Atractosporales;Conlariaceae;Conlarium,6,33,1,1,"['none (32)', 'species (1)']"
Fungi;Ascomycota;Sordariomycetes;Atractosporales;Conlariaceae;Conlarium;Conlarium aquaticum,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales,4,15888,4802,4799,"['none (11086)', 'species (4799)', 'order (1)', 'class (1)', 'family (1)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae,5,1063,156,155,"['none (907)', 'species (155)', 'family (1)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavaria,6,219,56,56,"['none (163)', 'species (56)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavaria;Clavaria apulica,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales,4,3839,1100,1093,"['none (2739)', 'species (1093)', 'family (3)', 'domain (3)', 'order (1)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Dictyosporiaceae,5,62,24,24,"['none (38)', 'species (24)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Dictyosporiaceae;Pseudocoleophoma,6,14,3,3,"['none (11)', 'species (3)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Dictyosporiaceae;Pseudocoleophoma;Pseudocoleophoma polygonicola,7,1,0,0,['none (1)']
